reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000168;Auvergne-Rhône-Alpes;Bourg-Saint-Maurice;les Arcs 1800 / Arc Chantel;;"""station de sports d'hiver dite ""Les Arcs 1800""""";Savoie
ACR0000169;Auvergne-Rhône-Alpes;Bourg-Saint-Maurice;avenue du Maréchal-Leclerc;"45.6150631324405, 6.76847890442157";cinéma le Savoy;Savoie
ACR0000170;Auvergne-Rhône-Alpes;Bourg-Saint-Maurice;1 place Hôtel de Ville;"45.6187395635187, 6.76967406424251";hôtel de ville;Savoie
ACR0000188;Auvergne-Rhône-Alpes;Tignes;180 Boucle du Rosset;"45.469128, 6.909524";chapelle de la Transfiguration-du-Christ-sur-la-Montagne;Savoie
ACR0000192;Bourgogne-Franche-Comté;Dijon;6-8 rue de la fontaine;"47.330459, 5.027613";Groupe scolaire de la Maladière;Côte-d'Or
ACR0000202;Bourgogne-Franche-Comté;Besançon;12 rue Denis Papin;"47.2433, 5.98772";École des Beaux-Arts;Doubs
ACR0000205;Bourgogne-Franche-Comté;Besançon;26 rue de Proudhon;"47.2399, 6.02591";Immeuble dit Le Building;Doubs
ACR0000216;Bourgogne-Franche-Comté;Montbéliard;"8-38, rue de l'aérodrome / 25-27 rue Hélène Boucher";"47.4972885145547, 6.79118802847394";Lotissement Les Bois de Courcelles;Doubs
ACR0000218;Bourgogne-Franche-Comté;Frotey-les-Vesoul;4-6 rue de la Garenne;"47.6208267588473, 6.18586894637521";Villa Malitchenko;Haute-Saône
ACR0000221;Bourgogne-Franche-Comté;Luxeuil-les-Bains;39 Avenue du Maréchal Turenne;"47.81197430233615, 6.362699056071476";stade;Haute-Saône
ACR0000235;Bourgogne-Franche-Comté;Montsauche-les-Settons;presqu'île du Lac;"47.1881703299498, 4.06863207858635";salle du Mille-clubs de la base nautique;Nièvre
ACR0000238;Bourgogne-Franche-Comté;Gueugnon;rue des Potiers;"46.5938417612411, 4.05690171261889";ancienne station de carburant;Saône-et-Loire
ACR0000245;Bourgogne-Franche-Comté;Paray-le-Monial;40 rue de Bellevue;"46.4459512161574, 4.10791865603215";Groupe scolaire Bellevue;Saône-et-Loire
ACR0000257;Bretagne;Plougastel-Daoulas;;"48.375278, -4.403975";Maison de l'architecte Claude Petton;Finistère
ACR0000259;Bretagne;Quimper;39 boulevard de l'Amiral-de-Kerguélen;;"Magasin de commerce Ty-Dibab, actuellement restaurant";Finistère
ACR0000265;Bretagne;Rennes;43 rue d'Antrain;"48.1188108156916, -1.67595367275517";Maison Crespel;Ille-et-Vilaine
ACR0000271;Bretagne;Saint-Lunaire;87 boulevard du Décollé;"48.6416249217435, -2.11356393041103";"Maison de villégiature, dite villa Le Revenant";Ille-et-Vilaine
ACR0000273;Bretagne;Caudan;Louis-le-Laennec (place);"47.8108537718244, -3.34052338762813";Église Saint-Pierre et Saint-Paul;Morbihan
ACR0000276;Bretagne;Lorient;Turenne (rue de) 1;"47.7504781238876, -3.36100156042641";Église Notre-Dame-de-la-Victoire;Morbihan
ACR0000280;Bretagne;Lorient;64 avenue de la Marne;"47.7423007315888, -3.36821990565177";"Maison et agence de Rogé Beauvir, dite Villa de la Marne";Morbihan
ACR0000281;Bretagne;Lorient;Presqu'île de Keroman;"47.7275079306278, -3.3661425208225304";"Base sous-marine de Keroman, actuellement entrepôts";Morbihan
ACR0000282;Bretagne;Lorient;21 quai des Indes;"47.7457267432696, -3.3585026113551106";Chambre de commerce;Morbihan
ACR0000285;Centre-Val de Loire;Allouis;;"47.1690107300857, 2.20428280213552";"Centre-émetteur, logements et annexes";Cher
ACR0000288;Centre-Val de Loire;Bourges;"""rue Joseph-Le Brix / rue Nungesser-et-Coli / rue Louis-Blériot / rue Latham / rue Mesmin / rue Guilbeau """;"47.0675195000326, 2.37640384126652";Cité-jardin de l’Aéroport;Cher
ACR0000289;Centre-Val de Loire;Bourges;23 rue Jean-Moulin;"47.1044150617099, 2.40597708303723";Église Saint-Jean;Cher
ACR0000298;Centre-Val de Loire;Bourges;rue Clément-Ader / rue Jules-Védrines / chemin de Villeuneuve / allée Clément-Ader / allée Jules-Védrines / rue Mesmin / rue Guilbeau;"47.0653324550131, 2.36615624837861";Lotissement d’Airville;Cher
